Day,Solar,Wind,Bio,Water,TotalGen,GridLoss,Demand,Balance,Ueberschuss,Mangel,Einspeichern,SOC,RueckverstrStrom,RueckverstrH2,Abregelung,MangelLast
1,961.57,3318.87,12.40,53.40,4346.24,399.85,2170.84,1775.54,1775.54,0.00,1775.54,1154.10,0.00,0.00,0.00,0.00
2,745.42,3300.54,12.40,53.40,4111.75,378.28,2725.93,1007.54,1007.54,0.00,1007.54,1809.01,0.00,0.00,0.00,0.00
3,977.58,2126.13,12.40,53.40,3169.51,291.60,2831.36,46.56,46.56,0.00,46.56,1839.27,0.00,0.00,0.00,0.00
4,297.04,5397.22,12.40,53.40,5760.06,529.93,3076.05,2154.08,2154.08,0.00,2154.08,3239.42,0.00,0.00,0.00,0.00
5,496.26,3456.48,12.40,53.40,4018.55,369.71,2923.67,725.17,725.17,0.00,725.17,3710.78,0.00,0.00,0.00,0.00
6,653.30,3214.51,12.40,53.40,3933.61,361.89,2798.66,773.05,773.05,0.00,773.05,4213.26,0.00,0.00,0.00,0.00
7,1018.27,2885.85,12.40,53.40,3969.92,365.23,2531.37,1073.32,1073.32,0.00,1073.32,4910.92,0.00,0.00,0.00,0.00
8,508.36,3073.65,12.40,53.40,3647.82,335.60,2465.76,846.46,846.46,0.00,846.46,5461.12,0.00,0.00,0.00,0.00
9,570.80,2673.20,12.40,53.40,3309.80,304.50,3035.47,-30.17,0.00,30.17,0.00,5409.54,30.17,51.57,0.00,0.00
10,642.06,2992.21,12.40,53.40,3700.08,340.41,3150.55,209.12,209.12,0.00,209.12,5545.47,0.00,0.00,0.00,0.00
11,417.80,4008.72,12.40,53.40,4492.32,413.29,3208.03,871.00,871.00,0.00,871.00,6111.62,0.00,0.00,0.00,0.00
12,422.79,5306.71,12.40,53.40,5795.31,533.17,3275.42,1986.72,1986.72,0.00,1986.72,7402.99,0.00,0.00,0.00,0.00
13,791.48,5153.36,12.40,53.40,6010.65,552.98,3181.44,2276.22,2276.22,0.00,2276.22,8882.53,0.00,0.00,0.00,0.00
14,666.67,4908.74,12.40,53.40,5641.21,518.99,2788.74,2333.48,2333.48,0.00,2333.48,10399.30,0.00,0.00,0.00,0.00
15,537.62,4963.94,12.40,53.40,5567.37,512.20,2683.93,2371.24,2371.24,0.00,2371.24,11940.60,0.00,0.00,0.00,0.00
16,1120.73,3408.46,12.40,53.40,4594.99,422.74,3175.41,996.84,996.84,0.00,996.84,12588.55,0.00,0.00,0.00,0.00
17,1307.50,2753.88,12.40,53.40,4127.17,379.70,3245.42,502.05,502.05,0.00,502.05,12914.88,0.00,0.00,0.00,0.00
18,734.28,1822.25,12.40,53.40,2622.33,241.25,3211.02,-829.94,0.00,829.94,0.00,11496.17,829.94,1418.71,0.00,0.00
19,788.36,2552.02,12.40,53.40,3406.19,313.37,3297.04,-204.22,0.00,204.22,0.00,11147.09,204.22,349.09,0.00,0.00
20,546.65,545.20,12.40,53.40,1157.65,106.50,3158.45,-2107.30,0.00,2107.30,0.00,7544.86,2107.30,3602.23,0.00,0.00
21,358.36,1673.66,12.40,53.40,2097.82,193.00,2849.12,-944.30,0.00,944.30,0.00,5930.67,944.30,1614.19,0.00,0.00
22,167.94,1333.93,12.40,53.40,1567.67,144.23,2664.87,-1241.43,0.00,1241.43,0.00,3808.57,1241.43,2122.10,0.00,0.00
