Day,Solar,Wind,Bio,Water,Total_Gen,Grid_Loss,Demand,Balance
1,961.57,3318.87,12.40,53.40,4346.24,399.85,2170.84,1775.54
2,745.42,3300.54,12.40,53.40,4111.75,378.28,2725.93,1007.54
3,977.58,2126.13,12.40,53.40,3169.51,291.60,2831.36,46.56
4,297.04,5397.22,12.40,53.40,5760.06,529.93,3076.05,2154.08
5,496.26,3456.48,12.40,53.40,4018.55,369.71,2923.67,725.17
6,653.30,3214.51,12.40,53.40,3933.61,361.89,2798.66,773.05
7,1018.27,2885.85,12.40,53.40,3969.92,365.23,2531.37,1073.32
8,508.36,3073.65,12.40,53.40,3647.82,335.60,2465.76,846.46
9,570.80,2673.20,12.40,53.40,3309.80,304.50,3035.47,-30.17
10,642.06,2992.21,12.40,53.40,3700.08,340.41,3150.55,209.12
11,417.80,4008.72,12.40,53.40,4492.32,413.29,3208.03,871.00
12,422.79,5306.71,12.40,53.40,5795.31,533.17,3275.42,1986.72
13,791.48,5153.36,12.40,53.40,6010.65,552.98,3181.44,2276.22
14,666.67,4908.74,12.40,53.40,5641.21,518.99,2788.74,2333.48
15,537.62,4963.94,12.40,53.40,5567.37,512.20,2683.93,2371.24
16,1120.73,3408.46,12.40,53.40,4594.99,422.74,3175.41,996.84
17,1307.50,2753.88,12.40,53.40,4127.17,379.70,3245.42,502.05
18,734.28,1822.25,12.40,53.40,2622.33,241.25,3211.02,-829.94
19,788.36,2552.02,12.40,53.40,3406.19,313.37,3297.04,-204.22
20,546.65,545.20,12.40,53.40,1157.65,106.50,3158.45,-2107.30
21,358.36,1673.66,12.40,53.40,2097.82,193.00,2849.12,-944.30
22,167.94,1333.93,12.40,53.40,1567.67,144.23,2664.87,-1241.43
23,293.60,635.81,12.40,53.40,995.21,91.56,3143.25,-2239.60
24,295.85,447.89,12.40,53.40,809.54,74.48,3138.43,-2403.37
25,170.63,534.93,12.40,53.40,771.37,70.97,3181.93,-2481.53
26,234.99,750.72,12.40,53.40,1051.51,96.74,3272.79,-2318.02
27,381.47,1067.71,12.40,53.40,1514.98,139.38,3207.91,-1832.31
28,528.57,619.31,12.40,53.40,1213.68,111.66,2766.96,-1664.94
29,675.67,2537.89,12.40,53.40,3279.36,301.70,2677.93,299.73
30,692.78,4266.08,12.40,53.40,5024.66,462.27,3277.20,1285.19
31,593.31,4224.92,12.40,53.40,4884.03,449.33,3259.70,1175.00
32,576.82,4913.55,12.40,53.40,5556.17,511.17,3268.92,1776.09
33,666.25,3264.91,12.40,53.40,3996.96,367.72,3273.26,355.98
34,480.09,4831.77,12.40,53.40,5377.66,494.75,3235.73,1647.19
35,1680.56,998.53,12.40,53.40,2744.90,252.53,2714.01,-221.64
36,999.94,1360.75,12.40,53.40,2426.49,223.24,2594.52,-391.27
37,1095.49,590.80,12.40,53.40,1752.09,161.19,3106.55,-1515.65
38,2924.10,665.36,12.40,53.40,3655.26,336.28,3167.92,151.06
39,3312.14,1373.19,12.40,53.40,4751.13,437.10,3213.88,1100.14
40,3043.44,2228.61,12.40,53.40,5337.86,491.08,3292.54,1554.23
41,2348.44,2540.39,12.40,53.40,4954.63,455.83,3223.71,1275.10
42,1139.55,3031.25,12.40,53.40,4236.60,389.77,2807.44,1039.39
43,1224.73,627.97,12.40,53.40,1918.50,176.50,2518.51,-776.51
44,1731.07,508.87,12.40,53.40,2305.74,212.13,3042.61,-949.00
45,1969.18,391.26,12.40,53.40,2426.24,223.21,3058.25,-855.22
46,2385.18,731.16,12.40,53.40,3182.15,292.76,3089.36,-199.98
47,2341.82,2154.93,12.40,53.40,4562.55,419.75,3128.07,1014.73
48,804.90,4834.95,12.40,53.40,5705.66,524.92,3128.15,2052.59
49,979.46,3774.23,12.40,53.40,4819.49,443.39,2695.06,1681.03
50,1604.29,2200.74,12.40,53.40,3870.83,356.12,2471.07,1043.64
51,2416.64,4485.68,12.40,53.40,6968.12,641.07,3001.17,3325.88
52,2335.73,2091.51,12.40,53.40,4493.04,413.36,3041.96,1037.72
53,2552.78,709.69,12.40,53.40,3328.27,306.20,3012.46,9.61
54,1190.21,959.56,12.40,53.40,2215.56,203.83,3035.25,-1023.51
55,1078.87,3023.92,12.40,53.40,4168.59,383.51,3065.36,719.71
56,1681.35,3441.30,12.40,53.40,5188.45,477.34,2794.69,1916.43
57,2134.96,2016.15,12.40,53.40,4216.91,387.96,2575.59,1253.36
58,2702.66,984.27,12.40,53.40,3752.72,345.25,3020.47,387.01
59,3803.11,810.61,12.40,53.40,4679.52,430.52,3064.65,1184.36
60,4092.66,889.01,12.40,53.40,5047.48,464.37,3065.81,1517.30
61,3584.27,829.26,12.40,53.40,4479.34,412.10,3068.07,999.17
62,2543.30,1052.97,12.40,53.40,3662.07,336.91,3035.03,290.13
63,1729.00,2480.60,12.40,53.40,4275.40,393.34,2756.38,1125.69
64,1374.53,1646.06,12.40,53.40,3086.38,283.95,2528.14,274.29
65,1549.38,1319.48,12.40,53.40,2934.67,269.99,3045.91,-381.24
66,2006.44,3495.50,12.40,53.40,5567.75,512.23,3180.86,1874.65
67,1004.64,1090.77,12.40,53.40,2161.22,198.83,3073.97,-1111.59
68,1607.87,1377.45,12.40,53.40,3051.12,280.70,2999.97,-229.55
69,1688.57,3066.92,12.40,53.40,4821.29,443.56,3036.62,1341.12
70,2608.31,2298.99,12.40,53.40,4973.10,457.52,2693.14,1822.44
71,1818.88,2377.24,12.40,53.40,4261.92,392.10,2502.88,1366.94
72,2257.48,4681.53,12.40,53.40,7004.82,644.44,3087.71,3272.66
73,1836.62,4193.15,12.40,53.40,6095.58,560.79,3121.32,2413.47
74,3228.58,2061.36,12.40,53.40,5355.74,492.73,3111.85,1751.16
75,4597.86,2671.21,12.40,53.40,7334.88,674.81,3067.74,3592.33
76,3906.76,2384.36,12.40,53.40,6356.93,584.84,3000.58,2771.50
77,4078.21,1029.07,12.40,53.40,5173.08,475.92,2477.75,2219.41
78,2792.56,830.42,12.40,53.40,3688.78,339.37,2296.86,1052.55
79,1890.06,1299.03,12.40,53.40,3254.89,299.45,2873.80,81.64
80,2727.02,1436.31,12.40,53.40,4229.13,389.08,2944.51,895.55
81,3863.34,3265.71,12.40,53.40,7194.85,661.93,2980.82,3552.11
82,2017.03,3564.43,12.40,53.40,5647.26,519.55,3004.59,2123.12
83,2109.58,3832.09,12.40,53.40,6007.47,552.69,2950.82,2503.96
84,3066.46,3992.61,12.40,53.40,7124.87,655.49,2542.72,3926.66
85,2274.59,2231.88,12.40,53.40,4572.27,420.65,2304.36,1847.27
86,3889.12,2994.62,12.40,53.40,6949.54,639.36,2949.55,3360.63
87,4443.48,1777.60,12.40,53.40,6286.88,578.39,3028.17,2680.31
88,2579.88,1569.14,12.40,53.40,4214.82,387.76,2993.50,833.56
89,2218.63,3727.51,12.40,53.40,6011.94,553.10,3005.36,2453.48
90,2298.25,2362.36,12.40,53.40,4726.41,434.83,2925.78,1365.80
91,1726.63,3486.68,12.40,53.40,5279.11,485.68,2636.15,2157.28
92,2466.71,2658.52,12.40,53.40,5191.03,477.57,2442.35,2271.10
93,4556.28,1450.72,12.40,53.40,6072.80,558.70,2892.38,2621.72
94,5623.58,455.92,12.40,53.40,6145.30,565.37,2912.37,2667.57
95,5643.06,216.00,12.40,53.40,5924.86,545.09,2892.00,2487.77
